route_id,direction_id,service_id,idle_time_average
601,1,DOM,45.0
601,1,SAB,46.95652173913044
601,1,UTEIS,33.75
602,0,DOM,41.15384615384615
602,0,SAB,32.42424242424242
602,0,UTEIS,17.60655737704918
602,1,DOM,41.6
602,1,SAB,32.5
602,1,UTEIS,17.627118644067796
603,0,DOM,60.588235294117645
603,0,SAB,60.588235294117645
603,0,UTEIS,32.96875
603,1,DOM,61.470588235294116
603,1,SAB,61.470588235294116
603,1,UTEIS,34.193548387096776
604,0,DOM,58.666666666666664
604,0,SAB,55.3125
604,0,UTEIS,26.818181818181817
604,1,DOM,57.9375
604,1,SAB,54.529411764705884
604,1,UTEIS,27.264705882352942
700,0,DOM,55.833333333333336
700,0,SAB,41.25
700,0,UTEIS,20.098039215686274
700,1,DOM,55.26315789473684
700,1,SAB,42.2
700,1,UTEIS,20.48076923076923
701,0,DOM,35.5
701,0,SAB,23.152173913043477
701,0,UTEIS,17.37704918032787
701,1,DOM,36.0
701,1,SAB,24.0
701,1,UTEIS,17.704918032786885
702,0,DOM,36.48275862068966
702,0,SAB,22.72340425531915
702,0,UTEIS,17.59016393442623
702,1,DOM,35.833333333333336
702,1,SAB,23.88888888888889
702,1,UTEIS,18.166666666666668
703,0,DOM,65.45454545454545
703,0,SAB,50.3125
703,0,UTEIS,31.11111111111111
703,1,DOM,62.30769230769231
703,1,SAB,49.72222222222222
703,1,UTEIS,30.862068965517242
704,0,DOM,40.45454545454545
704,0,SAB,30.689655172413794
704,0,UTEIS,17.07547169811321
704,1,DOM,39.78260869565217
704,1,SAB,31.551724137931036
704,1,UTEIS,17.547169811320753
705,0,DOM,58.666666666666664
705,0,SAB,58.666666666666664
705,0,UTEIS,31.03448275862069
705,1,DOM,59.333333333333336
705,1,SAB,59.333333333333336
705,1,UTEIS,31.896551724137932
706,0,DOM,91.81818181818181
706,0,SAB,91.81818181818181
706,0,UTEIS,91.81818181818181
706,1,DOM,92.0
706,1,SAB,92.0
706,1,UTEIS,87.27272727272727
707,0,DOM,90.0
707,0,SAB,90.0
707,0,UTEIS,92.22222222222223
707,1,DOM,90.0
707,1,SAB,90.0
707,1,UTEIS,91.66666666666667
7M,0,DOM,60.0
7M,0,SAB,60.0
7M,0,UTEIS,60.0
7M,1,DOM,60.0
7M,1,SAB,60.0
7M,1,UTEIS,60.0
800,0,DOM,29.63888888888889
800,0,SAB,26.21951219512195
800,0,UTEIS,15.441176470588236
800,1,DOM,29.02777777777778
800,1,SAB,25.609756097560975
800,1,UTEIS,15.552238805970148
801,0,DOM,28.91891891891892
801,0,SAB,26.51219512195122
801,0,UTEIS,19.763636363636362
801,1,DOM,29.166666666666668
801,1,SAB,27.17948717948718
801,1,UTEIS,20.18867924528302
803,0,DOM,56.05263157894737
803,0,SAB,56.05263157894737
803,0,UTEIS,29.583333333333332
803,1,DOM,57.5
803,1,SAB,57.5
803,1,UTEIS,31.363636363636363
804,0,SAB,25.0
804,0,UTEIS,18.367346938775512
804,1,SAB,25.0
804,1,UTEIS,17.74
805,0,DOM,58.333333333333336
805,0,SAB,42.0
805,0,UTEIS,35.166666666666664
805,1,DOM,58.611111111111114
805,1,SAB,42.6
805,1,UTEIS,34.354838709677416
806,0,DOM,61.5625
806,0,SAB,39.23076923076923
806,0,UTEIS,29.142857142857142
806,1,DOM,58.23529411764706
806,1,SAB,39.23076923076923
806,1,UTEIS,30.0
8M,0,DOM,60.0
8M,0,SAB,60.0
8M,0,UTEIS,60.0
8M,1,DOM,60.0
8M,1,SAB,60.0
8M,1,UTEIS,60.0
900,0,DOM,53.125
900,0,SAB,42.5
900,0,UTEIS,38.69565217391305
900,1,DOM,52.8125
900,1,SAB,42.25
900,1,UTEIS,38.26086956521739
901,0,DOM,46.36363636363637
901,0,SAB,38.888888888888886
901,0,UTEIS,29.22222222222222
901,1,DOM,47.04545454545455
901,1,SAB,38.333333333333336
901,1,UTEIS,29.571428571428573
902,0,DOM,34.03225806451613
902,0,SAB,31.323529411764707
902,0,UTEIS,24.204545454545453
902,1,DOM,35.51724137931034
902,1,SAB,31.515151515151516
902,1,UTEIS,24.186046511627907
903,0,DOM,33.28125
903,0,SAB,21.93877551020408
903,0,UTEIS,15.955882352941176
903,1,DOM,31.65625
903,1,SAB,21.520833333333332
903,1,UTEIS,15.115942028985508
904,0,DOM,31.78125
904,0,SAB,31.78125
904,0,UTEIS,22.666666666666668
904,1,DOM,32.8125
904,1,SAB,32.8125
904,1,UTEIS,21.875
905,0,DOM,33.59375
905,0,SAB,28.289473684210527
905,0,UTEIS,16.53846153846154
905,1,DOM,33.666666666666664
905,1,SAB,28.194444444444443
905,1,UTEIS,16.451612903225808
906,0,DOM,45.68181818181818
906,0,SAB,38.07692307692308
906,0,UTEIS,30.0
906,1,DOM,48.095238095238095
906,1,SAB,39.80769230769231
906,1,UTEIS,30.58823529411765
907,0,DOM,27.43243243243243
907,0,SAB,27.43243243243243
907,0,UTEIS,19.901960784313726
907,1,DOM,27.0
907,1,SAB,27.0
907,1,UTEIS,18.56140350877193
9M,0,DOM,60.0
9M,0,SAB,60.0
9M,0,UTEIS,60.0
9M,1,DOM,60.0
9M,1,SAB,60.0
9M,1,UTEIS,60.0
